question_id,bone_group,bone_name,difficulty_level,difficulty_score,question_text,option_a,option_b,option_c,option_d,correct_option
rib_01,Axial,Rib,Easy,0.2,What major body cavity do the ribs primarily enclose and protect?,Abdominal cavity,Thoracic cavity,Pelvic cavity,Cranial cavity,B
rib_02,Axial,Rib,Easy,0.2,Which vital organs are shielded directly by the rib cage?,Brain and spinal cord,Stomach and liver,Heart and lungs,Kidneys and bladder,C
rib_03,Axial,Rib,Easy,0.3,"Anteriorly, most ribs attach directly or indirectly to which central axial bone?",Clavicle,Scapula,Sternum,Vertebrae,C
rib_04,Axial,Rib,Medium,0.5,"Posteriorly, all 12 pairs of ribs articulate with which specific segment of the vertebral column?",Cervical vertebrae,Thoracic vertebrae,Lumbar vertebrae,Sacral vertebrae,B
rib_05,Axial,Rib,Medium,0.5,How many total pairs of ribs make up the human rib cage?,10 pairs,12 pairs,14 pairs,8 pairs,B
rib_06,Axial,Rib,Medium,0.6,"Which structure connects the ribs to the sternum, providing flexibility during breathing?",Hyaline costal cartilage,Fibrocartilage disc,Synovial fluid,Interosseous membrane,A
rib_07,Axial,Rib,Medium,0.6,Ribs 11 and 12 are classified as 'floating ribs' because they:,Do not articulate with the spine,Are not attached anteriorly to the sternum or costal cartilage,Have no muscular attachments,Are made entirely of cartilage,B
rib_08,Axial,Rib,Hard,0.8,"During inhalation, the motion of the upper ribs increases the anterior-posterior diameter of the thorax, commonly referred to as what biomechanical movement?",Bucket-handle movement,Pump-handle movement,Caliper movement,Reciprocal glide,B
rib_09,Axial,Rib,Hard,0.8,Which intercostal muscle layer is primarily active during forced expiration by pulling the ribs downward?,External intercostals,Internal intercostals,Diaphragm,Scalenes,B
rib_10,Axial,Rib,Hard,0.9,"In Physical Therapy rib mobility assessments, the lateral expansion of ribs 7 through 10 during deep inspiration is described as:",Pump-handle movement,Bucket-handle movement,Torsion rotation,Anteroposterior translation,B
skull_01,Axial,Skull,Easy,0.2,What is the primary anatomical function of the skull?,Pumping blood,Protecting the brain,Filter oxygen,Supporting lower limbs,B
skull_02,Axial,Skull,Easy,0.2,Which bone forms the lower jaw and is the only movable bone of the skull?,Mandible,Maxilla,Frontal bone,Vomer,A
skull_03,Axial,Skull,Easy,0.3,The large opening at the base of the skull through which the spinal cord passes is called the:,Obturator foramen,Foramen ovale,Foramen magnum,Jugular foramen,C
skull_04,Axial,Skull,Medium,0.5,Which skull bone forms the forehead and the upper margins of the eye sockets?,Frontal bone,Parietal bone,Occipital bone,Temporal bone,A
skull_05,Axial,Skull,Medium,0.5,Immovable fibrous joints that connect the individual bones of the adult skull are known as:,Synovial joints,Sutures,Cartilaginous discs,Gomphoses,B
skull_06,Axial,Skull,Medium,0.6,Which cranial bone houses the middle and inner ear structures?,Sphenoid bone,Ethmoid bone,Occipital bone,Temporal bone,D
skull_07,Axial,Skull,Medium,0.6,The facial bone that forms the prominent structure of the cheekbone is the:,Maxilla,Lacrimal bone,Zygomatic bone,Nasal bone,C
skull_08,Axial,Skull,Hard,0.8,The sphenoid bone is considered the keystone of the cranium because it:,Is the largest bone in the head,Articulates with all other cranial bones,Contains the auditory ossicles,Forms the anterior nasal septum,B
skull_09,Axial,Skull,Hard,0.8,"In clinical PT cranial evaluation, trauma to the pterion region is critical due to the risk of rupturing which underlying vessel?",Middle meningeal artery,Internal carotid artery,Basilar artery,Vertebral artery,A
skull_10,Axial,Skull,Hard,0.9,"Which bone structure contains the sella turcica, the bony depression that cradles the pituitary gland?",Ethmoid bone,Temporal bone,Sphenoid bone,Occipital bone,C
